fund_name,asset_class,category,classification,aum_cr,expense_ratio,return_1y,return_3y,return_5y,sharpe,std_dev,alpha,beta
HDFC Nifty G-Sec Dec 2026 Index Fund-Reg(G),Debt MF,DT-GILT,Debt : Gilt,1158.0,0.35,6.75,7.2,,0.26,2.53,,
HDFC Nifty G-Sec Jul 2031 Index Fund-Reg(G),Debt MF,DT-GILT,Debt : Gilt,669.0,0.33,6.42,8.14,,0.23,0.69,,
HDFC Nifty G-Sec Jun 2027 Index Fund-Reg(G),Debt MF,DT-GILT,Debt : Gilt,752.0,0.35,7.09,7.44,,0.3,2.75,,
HDFC NIFTY G-Sec Jun 2036 Index Fund-Reg(G),Debt MF,DT-LD,Debt : Long Duration,938.0,0.38,5.58,8.36,,0.19,2.49,,
HDFC Nifty G-Sec Sep 2032 Index Fund-Reg(G),Debt MF,DT-GILT,Debt : Gilt,643.0,0.37,6.27,8.08,,0.22,0.19,,
HDFC Nifty SDL Oct 2026 Index Fund-Reg(G),Debt MF,DT-MD,Debt : Medium Duration,185.0,0.35,6.82,7.41,,0.32,4.61,,
HDFC Overnight Fund(G),Debt MF,DT-ON,Debt : Overnight,10920.0,0.22,5.37,6.17,5.37,-0.78,1.3,,
HDFC Short Term Debt Fund(G),Debt MF,DT-SD,Debt : Short Duration,17271.0,0.7,6.92,7.56,6.36,0.3,0.37,,
HSBC Banking and PSU Debt Fund-Reg(G),Debt MF,DT-B&PSU,Debt : Banking & PSU,4431.0,0.58,6.47,6.85,5.38,0.11,0.93,,
HSBC Corporate Bond Fund-Reg(G),Debt MF,DT-CORP,Debt : Corporate Bond,6203.0,0.6,6.86,7.35,6.18,0.19,2.33,,
HSBC Credit Risk Fund-Reg(G),Debt MF,DT-CR,Debt : Credit Risk,481.0,1.64,18.26,10.99,8.58,0.19,1.11,,
HSBC Dynamic Bond Fund-Reg(G),Debt MF,DT-DYN,Debt : Dynamic Bond,132.0,0.61,3.77,6.59,5.38,0.04,0.8,,
HSBC Liquid Fund(G),Debt MF,DT-LIQ,Debt : Liquid,17735.0,0.2,6.22,6.88,5.9,0.26,0.18,,
HSBC Low Duration Fund-Reg(G),Debt MF,DT-LOWD,Debt : Low Duration,1009.0,0.89,7.93,7.6,6.18,0.31,0.98,,
HSBC Medium Duration Fund-Reg(G),Debt MF,DT-MD,Debt : Medium Duration,746.0,1.08,6.59,7.42,6.16,0.23,0.33,,
HSBC Money Market Fund-Reg(G),Debt MF,DT-MM,Debt : Money Market,5379.0,0.34,6.8,7.14,5.82,0.4,1.11,,
HSBC Overnight Fund-Reg(G),Debt MF,DT-ON,Debt : Overnight,4360.0,0.14,5.44,6.22,5.41,-0.71,1.34,,
HSBC Short Duration Fund-Reg(G),Debt MF,DT-SD,Debt : Short Duration,4308.0,0.69,6.64,7.06,5.71,0.17,6.85,,
HSBC Ultra Short Duration Fund-Reg(G),Debt MF,DT-USD,Debt : Ultra Short Duration,2874.0,0.33,6.64,7.03,5.97,0.38,1.35,,
ICICI Pru Banking & PSU Debt Fund(G),Debt MF,DT-B&PSU,Debt : Banking & PSU,9490.0,0.73,6.54,7.32,6.41,0.25,2.45,,
ICICI Pru Bond Fund(G),Debt MF,DT-M&LD,Debt : Medium to Long Duration,2912.0,1.03,4.9,7.29,6.1,0.14,3.17,,
ICICI Pru Constant Maturity Gilt Fund(G),Debt MF,DT-GL10Y,Debt : Gilt (10 Yr Constant Duration),2655.0,0.4,6.0,7.88,6.27,0.2,0.2,,
ICICI Pru Corp Bond Fund(G),Debt MF,DT-CORP,Debt : Corporate Bond,33237.0,0.56,6.97,7.62,6.58,0.35,1.0,,
ICICI Pru Credit Risk Fund(G),Debt MF,DT-CR,Debt : Credit Risk,5946.0,1.37,8.61,8.25,7.35,0.52,1.31,,
ICICI Pru Floating Interest Fund(G),Debt MF,DT-FL,Debt : Floater,7439.0,0.86,7.3,7.73,6.51,0.42,0.36,,
ICICI Pru FMP-85-10Y-I(G),Debt MF,DT-FMP,Debt : FTP/FMP,484.0,,7.46,8.36,7.04,0.28,0.18,,
ICICI Pru FMP-88-1226D-F(G),Debt MF,DT-FMP,Debt : FTP/FMP,140.0,,6.43,7.09,,0.26,1.07,,
ICICI Pru FMP-88-1303D-S(G),Debt MF,DT-FMP,Debt : FTP/FMP,68.0,,6.85,7.43,,0.29,0.31,,
ICICI Pru Gilt Fund(G),Debt MF,DT-GILT,Debt : Gilt,10024.0,1.1,4.8,7.29,6.35,0.14,1.4,,
ICICI Pru Liquid Fund(G),Debt MF,DT-LIQ,Debt : Liquid,53738.0,0.31,6.2,6.87,5.87,0.25,0.93,,
ICICI Pru Long Term Bond Fund(G),Debt MF,DT-LD,Debt : Long Duration,977.0,0.95,2.06,6.63,5.14,0.05,1.96,,
ICICI Pru Money Market Fund(G),Debt MF,DT-MM,Debt : Money Market,35305.0,0.37,6.97,7.39,6.26,0.54,0.19,,
ICICI Pru Nifty 10 yr Benchmark G-Sec ETF,Debt MF,DT-GL10Y,Debt : Gilt (10 Yr Constant Duration),737.0,0.14,4.57,7.38,,0.15,2.53,,
ICICI Pru Nifty 5 yr Benchmark G-SEC ETF,Debt MF,DT-M&LD,Debt : Medium to Long Duration,20.0,0.2,7.05,7.75,,0.26,0.87,,
ICICI Pru Nifty G-Sec Dec 2030 Index Fund-Reg(G),Debt MF,DT-M&LD,Debt : Medium to Long Duration,844.0,0.33,6.69,7.95,,0.24,0.91,,
ICICI Pru Nifty SDL Dec 2028 Index Fund-Reg(G),Debt MF,DT-M&LD,Debt : Medium to Long Duration,846.0,0.37,7.54,8.04,,0.25,1.14,,
ICICI Pru Nifty SDL Sep 2026 Index Fund-Reg(G),Debt MF,DT-M&LD,Debt : Medium to Long Duration,256.0,0.4,6.72,7.31,,0.3,0.68,,
ICICI Pru Nifty SDL Sep 2027 Index Fund-Reg(G),Debt MF,DT-M&LD,Debt : Medium to Long Duration,1497.0,0.29,7.33,7.8,,0.31,1.91,,
ICICI Pru Overnight Fund(G),Debt MF,DT-ON,Debt : Overnight,11395.0,0.15,5.44,6.24,5.41,-0.67,0.19,,
ICICI Pru Savings Fund(G),Debt MF,DT-LOWD,Debt : Low Duration,31284.0,0.58,7.23,7.64,6.49,0.59,3.12,,
ICICI Pru Short Term Fund(G),Debt MF,DT-SD,Debt : Short Duration,22852.0,1.06,7.02,7.51,6.52,0.33,1.03,,
ICICI Pru Ultra Short Term Fund Fund(G),Debt MF,DT-USD,Debt : Ultra Short Duration,16816.0,0.77,6.75,7.07,6.06,0.4,0.37,,
Invesco India Banking and PSU Fund-Reg(G),Debt MF,DT-B&PSU,Debt : Banking & PSU,98.0,0.63,6.18,7.05,5.69,0.15,2.47,,
Invesco India Corporate Bond Fund-Reg(G),Debt MF,DT-CORP,Debt : Corporate Bond,6099.0,0.68,6.23,7.16,5.87,0.17,1.78,,
Invesco India Credit Risk Fund-Reg(G),Debt MF,DT-CR,Debt : Credit Risk,162.0,1.45,6.33,9.19,6.87,0.27,2.02,,
Invesco India Gilt Fund-Reg(G),Debt MF,DT-GILT,Debt : Gilt,277.0,1.25,1.13,6.13,4.88,0.02,1.03,,
Invesco India Liquid Fund(G),Debt MF,DT-LIQ,Debt : Liquid,15423.0,0.22,6.24,6.89,5.9,0.28,1.76,,
Invesco India Low Duration Fund(G),Debt MF,DT-LOWD,Debt : Low Duration,2065.0,0.65,6.63,7.06,5.9,0.31,0.77,,
Invesco India Medium Duration Fund-Reg(G),Debt MF,DT-MD,Debt : Medium Duration,174.0,1.21,5.44,6.66,,0.07,1.13,,
Invesco India Money Market Fund(G),Debt MF,DT-MM,Debt : Money Market,6596.0,0.43,6.71,7.09,5.88,0.36,0.18,,
Invesco India Nifty G-sec Jul 2027 Index Fund-Reg(G),Debt MF,DT-MD,Debt : Medium Duration,82.0,0.29,7.12,7.48,,0.27,1.14,,
Invesco India Overnight Fund-Reg(G),Debt MF,DT-ON,Debt : Overnight,332.0,0.12,5.44,6.25,5.44,-0.65,0.83,,
Invesco India Short Duration Fund-Reg(G),Debt MF,DT-SD,Debt : Short Duration,1064.0,1.05,6.3,6.95,5.59,0.14,0.31,,
Invesco India Ultra Short Duration Fund-Reg(G),Debt MF,DT-USD,Debt : Ultra Short Duration,1292.0,0.79,6.36,6.88,5.7,0.25,1.34,,
ITI Banking & PSU Debt Fund-Reg(G),Debt MF,DT-B&PSU,Debt : Banking & PSU,38.0,0.7,6.02,6.74,5.94,0.09,1.3,,
ITI Dynamic Bond Fund-Reg(G),Debt MF,DT-DYN,Debt : Dynamic Bond,31.0,1.19,2.91,5.99,,-0.05,2.76,,
ITI Liquid Fund-Reg(G),Debt MF,DT-LIQ,Debt : Liquid,56.0,0.25,6.1,6.58,5.62,-0.13,3.48,,
ITI Overnight Fund-Reg(G),Debt MF,DT-ON,Debt : Overnight,15.0,0.18,5.2,5.98,5.23,-1.11,0.19,,
ITI Ultra Short Duration Fund-Reg(G),Debt MF,DT-USD,Debt : Ultra Short Duration,195.0,0.92,5.89,6.28,,-0.24,0.42,,
JM Dynamic Bond Fund-Reg(G),Debt MF,DT-DYN,Debt : Dynamic Bond,58.0,0.98,5.03,6.71,5.73,0.06,1.44,,
JM Liquid Fund(G),Debt MF,DT-LIQ,Debt : Liquid,2577.0,0.26,6.14,6.8,5.86,0.18,0.36,,
JM Overnight Fund-Reg(G),Debt MF,DT-ON,Debt : Overnight,89.0,0.15,5.3,6.15,5.38,-0.78,0.18,,
JM Short Duration Fund-Reg(G),Debt MF,DT-SD,Debt : Short Duration,84.0,1.1,6.08,6.55,,0.04,1.07,,
Kotak Banking and PSU Debt Fund(G),Debt MF,DT-B&PSU,Debt : Banking & PSU,5409.0,0.75,6.78,7.29,6.32,0.19,0.29,,
Kotak Bond Fund-Reg(G),Debt MF,DT-M&LD,Debt : Medium to Long Duration,1908.0,1.65,3.51,6.31,5.33,0.02,0.86,,
Kotak Bond Short Term Fund(G),Debt MF,DT-SD,Debt : Short Duration,17568.0,1.12,6.29,7.01,5.83,0.15,2.11,,
Kotak Corporate Bond Fund(G),Debt MF,DT-CORP,Debt : Corporate Bond,17274.0,0.7,6.67,7.46,6.3,0.24,0.15,,
Kotak Credit Risk Fund(G),Debt MF,DT-CR,Debt : Credit Risk,711.0,1.71,8.1,7.63,5.88,0.23,0.18,,
Kotak FMP-292-1735D(IDCW),Debt MF,DT-FMP,Debt : FTP/FMP,481.0,,6.45,7.19,,0.28,2.13,,
Kotak FMP-300-1223D(G),Debt MF,DT-FMP,Debt : FTP/FMP,261.0,,6.53,7.18,,0.3,0.18,,
Kotak FMP-304-3119D(G),Debt MF,DT-FMP,Debt : FTP/FMP,120.0,,6.35,8.56,,0.26,0.41,,
Kotak FMP-305-1200D(G),Debt MF,DT-FMP,Debt : FTP/FMP,36.0,,6.32,7.02,,0.25,2.06,,
Kotak Gilt Fund-PF&Trust(G),Debt MF,DT-GILT,Debt : Gilt,2888.0,1.48,-0.31,5.2,4.74,-0.07,1.24,,
Kotak Gilt Fund-Reg(G),Debt MF,DT-GILT,Debt : Gilt,2888.0,1.48,-0.31,5.2,4.74,-0.07,2.29,,
Kotak Liquid Fund-Reg(G),Debt MF,DT-LIQ,Debt : Liquid,42746.0,0.31,6.21,6.84,5.85,0.21,1.08,,
Kotak Low Duration Fund(G),Debt MF,DT-LOWD,Debt : Low Duration,16393.0,1.18,6.61,6.9,5.82,0.18,1.32,,
Kotak Nifty SDL Apr 2027 Top 12 Equal Weight Index Fund-Reg(G),Debt MF,DT-M&LD,Debt : Medium to Long Duration,6958.0,0.35,7.4,7.72,,0.33,0.7,,
Kotak Nifty SDL Apr 2032 Top 12 Equal Weight Index Fund-Reg(G),Debt MF,DT-LD,Debt : Long Duration,3534.0,0.36,6.21,7.97,,0.16,3.75,,
Kotak Nifty SDL Jul 2026 Index Fund-Reg(G),Debt MF,DT-M&LD,Debt : Medium to Long Duration,98.0,0.41,6.61,7.22,,0.28,3.75,,
Kotak Nifty SDL Jul 2033 Index Fund-Reg(G),Debt MF,DT-LD,Debt : Long Duration,198.0,0.43,4.7,7.6,,0.13,0.19,,
Kotak Overnight Fund-Reg(G),Debt MF,DT-ON,Debt : Overnight,7093.0,0.16,5.43,6.22,5.41,-0.69,0.5,,
Kotak Savings Fund(G),Debt MF,DT-USD,Debt : Ultra Short Duration,16105.0,0.82,6.59,6.89,5.82,0.25,1.36,,
LIC MF Banking & PSU Fund-Reg(G),Debt MF,DT-B&PSU,Debt : Banking & PSU,1880.0,0.68,6.39,7.0,5.63,0.12,0.37,,
LIC MF Gilt Fund-PF(G),Debt MF,DT-GILT,Debt : Gilt,46.0,1.16,-0.12,5.15,4.22,-0.08,0.18,,
LIC MF Low Duration Fund(G),Debt MF,DT-LOWD,Debt : Low Duration,2018.0,1.23,6.3,6.69,5.59,0.1,0.95,,
LIC MF Medium to Long Duration Fund-Reg(G),Debt MF,DT-M&LD,Debt : Medium to Long Duration,198.0,0.5,4.88,6.95,5.47,0.08,2.6,,
LIC MF Money Market Fund-Reg(G),Debt MF,DT-MM,Debt : Money Market,4900.0,0.88,6.61,6.33,,-0.18,0.74,,
LIC MF Overnight Fund-Reg(G),Debt MF,DT-ON,Debt : Overnight,550.0,0.15,5.42,6.19,5.39,-0.79,2.64,,
LIC MF Short Duration Fund-Reg(G),Debt MF,DT-SD,Debt : Short Duration,194.0,1.16,6.02,6.67,5.18,0.07,1.32,,
LIC MF Ultra Short Duration Fund-Reg(G),Debt MF,DT-USD,Debt : Ultra Short Duration,230.0,1.22,6.01,6.33,5.4,-0.19,0.18,,
Mahindra Manulife Dynamic Bond Fund-Reg(G),Debt MF,DT-CR,Debt : Credit Risk,78.0,1.6,4.26,6.41,4.68,0.02,0.31,,
Mahindra Manulife Liquid Fund-Reg(G),Debt MF,DT-LIQ,Debt : Liquid,1145.0,0.26,6.23,6.9,5.93,0.31,1.32,,
Mahindra Manulife Low Duration Fund-Reg(G),Debt MF,DT-LOWD,Debt : Low Duration,573.0,1.1,6.36,6.78,5.61,0.15,3.52,,
Mahindra Manulife Overnight Fund-Reg(G),Debt MF,DT-ON,Debt : Overnight,214.0,0.19,5.42,6.2,5.42,-0.74,0.19,,
Mahindra Manulife Short Duration Fund-Reg(G),Debt MF,DT-SD,Debt : Short Duration,89.0,1.3,6.22,6.89,5.64,0.13,0.44,,
Mahindra Manulife Ultra Short Duration Fund-Reg(G),Debt MF,DT-USD,Debt : Ultra Short Duration,217.0,0.7,6.37,6.89,5.82,0.29,2.29,,
Mirae Asset Banking and PSU Fund-Reg(G),Debt MF,DT-B&PSU,Debt : Banking & PSU,44.0,0.81,5.88,6.78,5.6,0.08,0.29,,
Mirae Asset Corp Bond Fund-Reg(G),Debt MF,DT-CORP,Debt : Corporate Bond,48.0,0.68,6.3,6.99,5.66,0.12,2.42,,
Mirae Asset CRISIL IBX Gilt Index - April 2033 Index Fund-Reg(G),Debt MF,DT-GILT,Debt : Gilt,228.0,0.4,6.14,7.91,,0.21,0.18,,
Mirae Asset Dynamic Bond Fund-Reg(G),Debt MF,DT-DYN,Debt : Dynamic Bond,117.0,1.02,6.48,6.68,5.04,0.06,0.3,,
Mirae Asset Liquid Fund-Reg(G),Debt MF,DT-LIQ,Debt : Liquid,12395.0,0.19,6.21,6.88,5.9,0.27,2.2,,
Mirae Asset Low Duration Fund-Reg Savings Plan(G),Debt MF,DT-LOWD,Debt : Low Duration,2720.0,0.87,6.47,6.89,5.71,0.21,0.41,,
Mirae Asset Money Market Fund-Reg(G),Debt MF,DT-MM,Debt : Money Market,3769.0,0.41,6.67,7.08,,0.36,0.18,,
Mirae Asset Nifty AAA PSU Bond Plus SDL Apr 2026 50:50 Index Fund-Reg(G),Debt MF,DT-B&PSU,Debt : Banking & PSU,76.0,0.36,6.66,7.12,,0.29,0.96,,
Mirae Asset Nifty SDL Jun 2027 Index Fund-Reg(G),Debt MF,DT-M&LD,Debt : Medium to Long Duration,514.0,0.35,7.27,7.74,,0.32,0.31,,
Mirae Asset Overnight Fund-Reg(G),Debt MF,DT-ON,Debt : Overnight,1530.0,0.17,5.45,6.24,5.44,-0.67,1.27,,
Mirae Asset Ultra Short Duration Fund-Reg(G),Debt MF,DT-USD,Debt : Ultra Short Duration,1809.0,0.46,6.69,7.19,6.09,0.53,2.45,,
Motilal Oswal Liquid Fund-Reg(G),Debt MF,DT-LIQ,Debt : Liquid,1114.0,0.35,5.81,6.43,5.47,-0.27,0.87,,
Motilal Oswal Ultra Short Term Fund-Reg(G),Debt MF,DT-USD,Debt : Ultra Short Duration,441.0,1.0,5.19,5.71,4.73,-1.02,0.2,,
Nippon India Banking and PSU Fund(G),Debt MF,DT-B&PSU,Debt : Banking & PSU,5294.0,0.78,6.07,7.02,5.97,0.12,0.43,,
Nippon India Corp Bond Fund(G),Debt MF,DT-CORP,Debt : Corporate Bond,8950.0,0.78,6.57,7.53,6.56,0.23,0.37,,
Nippon India Floater Fund(G),Debt MF,DT-FL,Debt : Floater,8381.0,0.64,7.07,7.63,6.38,0.32,0.18,,
Nippon India FMP-XLI-8-3654D(G),Debt MF,DT-FMP,Debt : FTP/FMP,69.0,,7.5,8.19,6.91,0.25,1.06,,
Nippon India FMP-XLIII-1-1755D(IDCW),Debt MF,DT-FMP,Debt : FTP/FMP,239.0,,6.65,7.35,,0.32,0.31,,
Nippon India FMP-XLIII-5-2315D(G),Debt MF,DT-FMP,Debt : FTP/FMP,186.0,,7.39,8.05,,0.3,3.53,,
Nippon India FMP-XLIV-1-1743D(G),Debt MF,DT-FMP,Debt : FTP/FMP,79.0,,7.28,7.78,,0.35,0.18,,
Nippon India FMP-XLIV-4-1223D(G),Debt MF,DT-FMP,Debt : FTP/FMP,56.0,,6.47,7.13,,0.28,1.78,,
Nippon India Gilt Fund(G),Debt MF,DT-GILT,Debt : Gilt,1857.0,1.27,1.37,5.87,4.98,-0.02,1.36,,
Nippon India Inv-Annual-I(G),Debt MF,DT-FMP,Debt : FTP/FMP,3.0,,6.79,7.03,6.02,0.4,1.31,,
Nippon India Inv-Qrtly-II(G),Debt MF,DT-FMP,Debt : FTP/FMP,14.0,,5.8,6.72,5.85,0.23,0.78,,
Nippon India Nifty AAA CPSE Bond Plus SDL - Apr 2027 Maturity 60:40 Index Fund(G),Debt MF,DT-M&LD,Debt : Medium to Long Duration,3003.0,0.32,7.15,7.43,,0.3,2.03,,
Nippon India Nifty AAA PSU Bond Plus SDL - Sep 2026 Maturity 50:50 Index Fund-Reg(G),Debt MF,DT-B&PSU,Debt : Banking & PSU,383.0,0.38,6.88,7.23,,0.29,0.19,,
Nippon India Nifty G-Sec Jun 2036 Maturity Index Fund-Reg(G),Debt MF,DT-GILT,Debt : Gilt,882.0,0.42,5.62,8.16,,0.2,1.79,,
Nippon India Nifty G-Sec Oct 2028 Maturity Index Fund-Reg(G),Debt MF,DT-M&LD,Debt : Medium to Long Duration,128.0,0.39,7.1,7.6,,0.28,2.42,,
Nippon India Nifty G-Sec Sep 2027 Maturity Index Fund-Reg(G),Debt MF,DT-GILT,Debt : Gilt,409.0,0.41,7.05,7.4,,0.29,0.62,,
Nippon India Nifty SDL Plus G-Sec - Jun 2029 Maturity 70:30 Index Fund-Reg(G),Debt MF,DT-M&LD,Debt : Medium to Long Duration,321.0,0.39,7.33,7.95,,0.26,0.92,,
Nippon India Nifty SDL Plus G-Sec-Jun 2028 Maturity 70:30 Index Fund-Reg(G),Debt MF,DT-M&LD,Debt : Medium to Long Duration,330.0,0.4,7.26,7.72,,0.28,3.23,,
Nippon India Nivesh Lakshya Long Duration Fund(G),Debt MF,DT-LD,Debt : Long Duration,8228.0,0.65,1.26,6.44,5.49,0.04,0.19,,
Nippon India Overnight Fund-Reg(G),Debt MF,DT-ON,Debt : Overnight,6730.0,0.16,5.45,6.24,5.43,-0.67,0.43,,
Nippon India Short Duration Fund(G),Debt MF,DT-SD,Debt : Short Duration,8367.0,0.93,6.89,7.42,6.21,0.25,1.9,,
PGIM India Corp Bond Fund(G),Debt MF,DT-CORP,Debt : Corporate Bond,84.0,1.0,5.98,6.81,5.78,0.08,2.43,,
PGIM India CRISIL IBX Gilt Index - Apr 2028 Fund-Reg(G),Debt MF,DT-M&LD,Debt : Medium to Long Duration,24.0,0.67,7.03,7.41,,0.27,0.38,,
PGIM India Gilt Fund(G),Debt MF,DT-GILT,Debt : Gilt,99.0,1.4,1.57,5.86,4.95,-0.02,0.79,,
PGIM India Liquid Fund(G),Debt MF,DT-LIQ,Debt : Liquid,677.0,0.22,6.25,6.87,5.89,0.25,0.69,,
PGIM India Money Market Fund-Reg(G),Debt MF,DT-MM,Debt : Money Market,226.0,0.46,6.63,6.99,5.81,0.29,2.99,,
PGIM India Ultra Short Duration Fund(G),Debt MF,DT-USD,Debt : Ultra Short Duration,165.0,0.94,5.89,6.45,5.51,-0.07,1.12,,
Quant Gilt Fund-Reg(G),Debt MF,DT-GILT,Debt : Gilt,99.0,1.44,2.32,5.49,,-0.11,1.37,,
Quant Liquid Plan(G),Debt MF,DT-LIQ,Debt : Liquid,1262.0,0.54,5.96,6.61,5.8,-0.03,1.67,,
Quant Overnight Fund-Reg(G),Debt MF,DT-ON,Debt : Overnight,54.0,0.24,5.28,6.37,,-0.27,3.84,,
Quantum Dynamic Bond Fund-Reg(G),Debt MF,DT-DYN,Debt : Dynamic Bond,102.0,1.0,3.9,7.0,6.1,0.1,0.18,,
Quantum Liquid Fund-Reg(G),Debt MF,DT-LIQ,Debt : Liquid,567.0,0.26,5.8,6.53,5.61,-0.17,1.09,,
Samco Overnight Fund-Reg(G),Debt MF,DT-ON,Debt : Overnight,31.0,0.33,5.03,5.89,,-1.14,0.28,,
SBI Constant Maturity 10 Year Gilt Fund-Reg(G),Debt MF,DT-GL10Y,Debt : Gilt (10 Yr Constant Duration),1802.0,0.63,5.13,7.45,5.98,0.15,0.18,,
SBI Corp Bond Fund-Reg(G),Debt MF,DT-CORP,Debt : Corporate Bond,22518.0,0.77,6.49,7.18,5.94,0.17,0.15,,
SBI CPSE Bond Plus SDL Sep 2026 50:50 Index Fund-Reg(G),Debt MF,DT-MD,Debt : Medium Duration,7676.0,0.34,6.94,7.28,,0.3,1.27,,
SBI Credit Risk Fund-Reg(G),Debt MF,DT-CR,Debt : Credit Risk,2166.0,1.56,7.39,8.07,6.92,0.33,1.23,,
SBI CRISIL IBX Gilt Index - Apr 2029 Fund-Reg(G),Debt MF,DT-M&LD,Debt : Medium to Long Duration,1988.0,0.43,6.94,7.78,,0.26,2.41,,
SBI CRISIL IBX Gilt Index - June 2036 Fund-Reg(G),Debt MF,DT-LD,Debt : Long Duration,2738.0,0.5,5.45,8.03,,0.18,2.96,,
SBI CRISIL IBX SDL Index - Sep 2027 Fund-Reg(G),Debt MF,DT-M&LD,Debt : Medium to Long Duration,1001.0,0.38,7.3,7.75,,0.3,0.19,,
SBI Dynamic Bond Fund-Reg(G),Debt MF,DT-DYN,Debt : Dynamic Bond,4100.0,1.35,4.98,7.04,5.87,0.09,0.38,,
SBI FMP-1-3668D-Reg(G),Debt MF,DT-FMP,Debt : FTP/FMP,51.0,,7.39,8.24,7.03,0.28,0.18,,
SBI FMP-34-3682D-Reg(G),Debt MF,DT-FMP,Debt : FTP/FMP,29.0,,6.74,8.01,6.84,0.21,0.3,,
SBI FMP-42-1857D-Reg(G),Debt MF,DT-FMP,Debt : FTP/FMP,502.0,,6.34,7.12,,0.24,2.08,,
SBI FMP-44-1855D-Reg(G),Debt MF,DT-FMP,Debt : FTP/FMP,405.0,,6.65,7.27,,0.27,0.18,,
SBI FMP-45-1840D-Reg(G),Debt MF,DT-FMP,Debt : FTP/FMP,238.0,,6.55,7.28,,0.29,0.26,,
SBI FMP-46-1850D-Reg(G),Debt MF,DT-FMP,Debt : FTP/FMP,139.0,,6.63,7.23,,0.24,2.69,,
SBI FMP-50-1843D-Reg(G),Debt MF,DT-FMP,Debt : FTP/FMP,128.0,,6.86,7.42,,0.28,0.18,,
SBI FMP-51-1846D-Reg(G),Debt MF,DT-FMP,Debt : FTP/FMP,315.0,,6.95,7.5,,0.31,0.19,,
SBI FMP-52-1848D-Reg(G),Debt MF,DT-FMP,Debt : FTP/FMP,145.0,,6.94,7.51,,0.31,1.24,,
SBI FMP-53-1839D-Reg(G),Debt MF,DT-FMP,Debt : FTP/FMP,326.0,,7.06,7.57,,0.32,2.57,,
SBI FMP-54-1842D-Reg(G),Debt MF,DT-FMP,Debt : FTP/FMP,40.0,,7.11,7.63,,0.31,1.25,,
SBI FMP-55-1849D-Reg(G),Debt MF,DT-FMP,Debt : FTP/FMP,268.0,,7.11,7.58,,0.3,0.72,,
SBI FMP-57-1835D-Reg(G),Debt MF,DT-FMP,Debt : FTP/FMP,272.0,,7.14,7.61,,0.31,1.24,,
SBI FMP-58-1842D-Reg(G),Debt MF,DT-FMP,Debt : FTP/FMP,266.0,,7.18,7.66,,0.31,1.74,,
SBI FMP-59-1618D-Reg(G),Debt MF,DT-FMP,Debt : FTP/FMP,29.0,,6.49,7.12,,0.2,2.99,,
SBI FMP-6-3668D-Reg(G),Debt MF,DT-FMP,Debt : FTP/FMP,37.0,,7.1,7.98,6.78,0.24,1.14,,
SBI FMP-60-1878D-Reg(G),Debt MF,DT-FMP,Debt : FTP/FMP,262.0,,7.33,7.76,,0.32,2.49,,
SBI FMP-61-1927D-Reg(G),Debt MF,DT-FMP,Debt : FTP/FMP,355.0,,7.23,7.71,,0.3,0.66,,
SBI FMP-66-1361D-Reg(G),Debt MF,DT-FMP,Debt : FTP/FMP,715.0,,6.3,7.14,,0.24,3.04,,
SBI FMP-67-1467D-Reg(G),Debt MF,DT-FMP,Debt : FTP/FMP,616.0,,6.72,7.33,,0.27,0.19,,
SBI FMP-68-1302D-Reg(G),Debt MF,DT-FMP,Debt : FTP/FMP,203.0,,6.34,7.03,,0.18,4.28,,
SBI FMP-72-1239D-Reg(G),Debt MF,DT-FMP,Debt : FTP/FMP,354.0,,6.52,7.21,,0.24,0.44,,
SBI FMP-73-1226D-Reg(G),Debt MF,DT-FMP,Debt : FTP/FMP,212.0,,6.51,7.19,,0.24,1.2,,
SBI FMP-74-1243D-Reg(G),Debt MF,DT-FMP,Debt : FTP/FMP,167.0,,6.52,7.24,,0.28,1.96,,
SBI FMP-76-1221D-Reg(G),Debt MF,DT-FMP,Debt : FTP/FMP,174.0,,6.44,7.08,,0.21,2.52,,
SBI Gilt Fund-Reg(G),Debt MF,DT-GILT,Debt : Gilt,10211.0,0.96,3.23,6.8,5.94,0.05,0.35,,
SBI Liquid Fund-Reg(G),Debt MF,DT-LIQ,Debt : Liquid,66119.0,0.28,6.16,6.81,5.85,0.19,1.01,,
SBI Long Duration Fund-Reg(G),Debt MF,DT-LD,Debt : Long Duration,1792.0,0.67,1.1,6.57,,0.05,0.28,,
SBI Overnight Fund-Reg(G),Debt MF,DT-ON,Debt : Overnight,28880.0,0.14,5.41,6.2,5.4,-0.76,1.15,,
SBI Savings Fund-Reg(G),Debt MF,DT-MM,Debt : Money Market,35418.0,0.68,6.6,6.95,5.83,0.27,1.2,,
SBI Short Term Debt Fund-Reg(G),Debt MF,DT-SD,Debt : Short Duration,17213.0,0.85,6.68,7.19,5.96,0.2,0.2,,
SBI Ultra Short Duration Fund-Reg(G),Debt MF,DT-USD,Debt : Ultra Short Duration,13685.0,0.56,6.62,7.03,5.93,0.39,0.46,,
Shriram Overnight Fund-Reg(G),Debt MF,DT-ON,Debt : Overnight,124.0,0.15,5.37,6.16,,-0.83,0.18,,
Sundaram Banking & PSU Fund(G),Debt MF,DT-B&PSU,Debt : Banking & PSU,281.0,0.44,6.4,7.22,5.63,0.19,1.04,,
